GPA,Number_Of_Professional_Connections,Earnings,Major,Graduation_Year,Number_Of_Credits,Number_Of_Parking_Tickets
2.06,13,13209.67,Vocational,1976,120,0
2.6,46,13267.37,Vocational,2008,120,0
2.73,1,13261.38,Vocational,1990,123,1
1.81,9,13179.83,Vocational,1967,121,1
3,7,13280.02,Vocational,1994,121,5
2.46,23,13258.42,Vocational,1980,120,0
2.11,33,13225.83,Vocational,1994,124,2
2.46,3,13261.45,Vocational,2013,127,0
3.5,10,13340.98,Vocational,2004,123,0
2.47,2,13229.5,Vocational,1979,124,2
2.62,14,13262.37,Vocational,1980,121,3
2.32,29,13249.82,Vocational,2003,121,0
2.47,7,13243.66,Vocational,1964,123,2
1.41,50,13132.72,Vocational,2007,124,2
2.66,2,13255.79,Vocational,1983,121,2
2.51,53,13266.25,Vocational,1988,122,1
2.77,67,13272.82,Vocational,1968,120,1
2.55,24,13272.24,Vocational,2001,123,0
2.38,40,13260.3,Vocational,1980,123,0
2.79,13,13273.1,Vocational,1961,123,0
2.71,6,13274.85,Vocational,2014,121,1
2.37,26,13235.27,Vocational,1965,123,2
2.65,32,13277.66,Vocational,1969,121,1
2.82,4,13277.3,Vocational,2000,124,1
2.96,13,13311.13,Vocational,1966,123,0
1.98,10,13200.86,Vocational,1986,121,4
2.66,4,13247.4,Vocational,2004,122,2
2.35,25,13235.15,Vocational,2000,122,0
2.22,0,13228.87,Vocational,1989,135,0
2.38,44,13257.44,Vocational,1970,122,1
2.26,8,13224.74,Vocational,1978,121,1
1.19,33,13121.32,Vocational,2010,120,0
2.17,0,13232.22,Vocational,1968,120,1
2.91,9,13281.79,Vocational,2010,123,0
2.33,37,13209.48,Vocational,1966,122,1
2.35,15,13226.3,Vocational,2015,124,1
1.41,19,13131.84,Vocational,2002,123,2
2.33,3,13232.91,Vocational,2006,121,0
2.52,29,13250.17,Vocational,1998,122,2
3.12,22,13304.56,Vocational,2000,123,1
2.96,8,13277.71,Vocational,1998,120,1
2.12,10,13206.51,Vocational,2003,121,1
2.59,30,13240.36,Vocational,1974,121,3
2.57,7,13271.64,Vocational,1984,123,4
2.4,28,13234.99,Vocational,1968,120,1
2.04,23,13203.24,Vocational,2000,120,0
3.3,19,13331.17,Vocational,1985,121,0
2.41,7,13236.47,Vocational,2008,120,1
3.39,7,13344.31,Vocational,1989,128,1
2.21,15,13221.82,Vocational,2015,122,0
1.83,14,13183.69,Vocational,1997,122,4
2.57,22,13242.93,Vocational,1985,124,1
2.33,8,13236.03,Vocational,1976,121,0
2.85,12,13294.32,Vocational,1993,122,0
2.24,36,13218.28,Vocational,1997,122,0
3.47,0,13346.89,Vocational,2003,122,0
2.1,12,13206.79,Vocational,2011,121,0
2.8,15,13284.63,Vocational,1987,122,0
2.69,80,13283.92,Vocational,1994,122,1
1.91,23,13179.48,Vocational,1987,121,3
2.46,16,13250.77,Vocational,1961,121,1
2.35,29,13222.56,Vocational,1973,120,0
1.92,29,13181.31,Vocational,2007,120,0
1.87,3,13190.48,Vocational,2004,122,2
3.09,7,13309.5,Vocational,2014,122,1
2.48,16,13230.28,Vocational,1987,120,1
2.74,93,13278.55,Vocational,2004,121,0
2.75,13,13258.12,Vocational,1985,121,1
2.08,10,13200.19,Vocational,1979,120,2
1.89,30,13193.96,Vocational,2007,121,1
2.71,37,13262.03,Vocational,2015,125,1
2.62,29,13263.66,Vocational,2009,121,1
2.43,12,13228.13,Vocational,1983,123,3
2.08,40,13190.94,Vocational,2004,122,1
2.08,66,13214.4,Vocational,2012,128,1
2.33,7,13218.8,Vocational,1976,121,0
2.44,9,13234.55,Vocational,1980,120,1
2.18,43,13206.18,Vocational,1994,121,1
2.66,13,13276.02,Vocational,2009,121,1
2.29,9,13239.5,Vocational,1990,121,1
2.96,2,13276.04,Vocational,2014,125,2
2.34,18,13224.92,Vocational,2015,123,0
2.99,10,13300.33,Vocational,2000,121,0
2.27,14,13230.4,Vocational,1977,123,0
2.11,15,13213.39,Vocational,1980,120,1
2.3,6,13240.43,Vocational,1995,122,0
1.1,33,13101.14,Vocational,1986,126,2
2.68,21,13271.33,Vocational,1968,121,1
2.4,0,13227.96,Vocational,1988,122,0
2.01,24,13212.14,Vocational,2005,122,2
2.53,62,13261.04,Vocational,1982,121,2
2.75,47,13262.67,Vocational,1972,121,3
2.35,7,13235.01,Vocational,1966,121,1
2.7,24,13264.55,Vocational,1974,125,0
2.53,25,13258.11,Vocational,1994,120,2
2.7,36,13269.19,Vocational,1970,122,0
3.17,9,13321.98,Vocational,1975,120,3
2.34,10,13245.41,Vocational,1996,121,1
2.36,40,13240.12,Vocational,1987,122,0
2.21,13,13216.72,Vocational,1981,124,0
2.5,6,13259.72,Vocational,1965,122,3
2.52,23,13256.4,Vocational,1985,122,4
3.12,1,13313.74,Vocational,2000,121,1
2.29,11,13218.81,Vocational,1982,123,1
1.78,4,13178.89,Vocational,1976,122,1
2.2,4,13233.37,Vocational,1980,121,0
2.67,45,13254.56,Vocational,1963,125,4
2.87,50,13286.02,Vocational,1970,122,0
2.64,17,13267.79,Vocational,2000,124,0
2.09,16,13205.71,Vocational,1985,121,1
1.32,23,13132.79,Vocational,1982,122,0
1.68,43,13185.87,Vocational,1992,121,0
2.89,14,13280.62,Vocational,1979,121,1
2.33,49,13226.77,Vocational,1974,123,0
1.93,46,13182.41,Vocational,2007,126,0
3.21,25,13336.6,Vocational,2006,123,0
2.86,9,13302.91,Vocational,1961,125,1
3.03,8,13294,Vocational,2000,120,1
2.37,52,13214.5,Vocational,1972,123,6
2.18,27,13214.46,Vocational,2006,122,1
2,102,13206.24,Vocational,2009,120,0
2.45,80,13224.73,Vocational,2014,121,1
1.91,39,13165.82,Vocational,2000,121,2
3.49,64,13342.07,Vocational,1973,122,1
2.65,11,13263.89,Vocational,1981,124,1
2.61,36,13245.57,Vocational,1986,123,1
2.34,32,13216.67,Vocational,2008,121,0
2.63,17,13276.04,Vocational,2006,123,1
3.6,14,13365.29,Vocational,1990,122,0
2.65,8,13254.21,Vocational,1989,121,0
2.63,16,13267.18,Vocational,1982,122,1
1.78,32,13179.54,Vocational,1969,121,0
2.27,79,13237.98,Vocational,1983,125,0
2.12,0,13208.32,Vocational,1997,120,0
2.83,6,13279.87,Vocational,1988,124,1
1.97,7,13210.98,Vocational,1981,123,0
2.36,33,13241.01,Vocational,1961,121,2
2.3,32,13234.37,Vocational,2013,120,0
2.54,18,13269.52,Vocational,1995,124,0
2.68,20,13273.32,Vocational,1963,120,2
2.44,67,13254.92,Vocational,1985,121,1
3.39,4,13346.29,Vocational,1974,121,0
2.18,2,13199.18,Vocational,1966,120,2
1.96,4,13196.79,Vocational,1961,121,2
2.73,1,13264.62,Vocational,1967,125,0
3.03,5,13325.15,Vocational,1963,125,0
2.36,28,13235.13,Vocational,1972,120,1
2.9,35,13276.41,Vocational,1965,121,0
2.42,64,13240.2,Vocational,1999,120,0
2.64,1,13258.12,Vocational,1974,121,0
3.03,1,13303.3,Vocational,1963,121,1
1.87,16,13188.48,Vocational,2011,121,1
1.84,6,13181.49,Vocational,1994,121,0
2.29,11,13232.29,Vocational,1994,120,2
1.45,5,13147.11,Vocational,2010,121,3
2.2,8,13222.46,Vocational,1998,122,0
3.48,6,13339.79,Vocational,1982,121,0
1.89,0,13196.18,Vocational,1965,120,1
1.82,35,13182.8,Vocational,1986,121,3
2.17,14,13214.68,Vocational,2003,121,1
2.5,1,13236.27,Vocational,1990,124,0
2.29,5,13240.25,Vocational,1971,132,0
2.18,19,13236.21,Vocational,2008,122,0
2.23,1,13212.88,Vocational,1970,122,0
2.49,2,13257.16,Vocational,1968,120,3
2.74,17,13275.96,Vocational,1998,121,4
1.89,7,13205.71,Vocational,2009,122,1
3.59,2,13353.25,Vocational,1974,132,1
2.38,7,13243.01,Vocational,1979,120,1
2.68,21,13260.67,Vocational,1977,121,2
2.68,141,13279.7,Vocational,1977,125,3
3.24,33,13324.17,Vocational,2005,120,0
2.32,1,13226.39,Vocational,1972,120,0
2.86,10,13293.47,Vocational,1981,120,0
3.16,4,13332.94,Vocational,1987,121,2
2.63,22,13258.54,Vocational,2014,121,0
1.86,8,13192.03,Vocational,1967,131,0
2.18,23,13213.22,Vocational,1998,121,2
2.26,7,13227.15,Vocational,1979,123,0
3.45,49,13333.34,Vocational,1971,124,1
1.92,8,13189.29,Vocational,1985,124,1
2.44,12,13232.44,Vocational,1986,120,0
3.11,13,13320.58,Vocational,1961,122,0
1.9,11,13204.18,Vocational,1992,123,0
3.07,110,13304.4,Vocational,1995,121,0
2.24,12,13236.15,Vocational,1968,121,0
3.12,29,13293.03,Vocational,1963,127,0
2.14,64,13216.25,Vocational,1967,120,2
2.02,0,13194.89,Vocational,2008,120,1
3.45,17,13335.14,Vocational,1982,123,0
2.12,1,13227,Vocational,1972,129,1
2.02,9,13202.15,Vocational,1978,120,0
2.9,17,13291.91,Vocational,1984,121,0
2.1,28,13212.24,Vocational,1988,121,1
2.46,47,13243.7,Vocational,1963,121,0
2.48,39,13256.17,Vocational,1974,122,2
3.14,32,13323.65,Vocational,1977,120,1
2.68,7,13276.88,Vocational,2003,120,3
2.87,25,13292.76,Vocational,1962,123,1
2.12,10,13209.26,Vocational,1979,120,0
2.35,11,13215.92,Vocational,1994,125,1
3.02,23,13283.27,Vocational,2010,122,0
1.89,2,13186.33,Vocational,1973,121,1
2.77,13,13277.83,Vocational,1963,120,1
1.92,30,13201.3,Vocational,1974,120,2
2.59,20,13251.68,Vocational,1966,120,1
2.58,22,13254.81,Vocational,2007,125,0
2.98,33,13305.35,Vocational,1985,120,1
2.54,8,13253.24,Vocational,1968,122,1
3.33,20,13326.36,Vocational,1982,120,0
2.2,14,13218.07,Vocational,2004,120,1
2.49,7,13235.23,Vocational,1996,120,2
2.64,5,13241.27,Vocational,2009,120,0
2.22,16,13226.41,Vocational,1968,123,0
2.73,52,13274.22,Vocational,1978,128,1
2.74,14,13262.87,Vocational,1971,121,0
3.09,22,13312.37,Vocational,2014,125,1
2.12,31,13205.96,Vocational,2009,121,1
1.82,9,13171.17,Vocational,1991,122,1
2.77,12,13287.89,Vocational,1967,124,0
2.5,0,13255.24,Vocational,1988,120,0
2.63,42,13270.8,Vocational,1976,120,1
2.45,20,13265.28,Vocational,2013,122,0
3.13,51,13324.41,Vocational,1979,128,0
2.76,24,13282.31,Vocational,1963,120,0
2.67,21,13259.54,Vocational,1965,121,4
2.67,62,13266.98,Vocational,1999,123,1
2.16,28,13213.97,Vocational,2003,127,1
2.1,24,13200.21,Vocational,1964,125,2
2.68,0,13273.97,Vocational,2003,124,0
2.58,7,13254.4,Vocational,1991,124,0
2.62,23,13256.67,Vocational,1975,126,0
1.94,30,13197.64,Vocational,1987,125,1
2.43,14,13249,Vocational,2004,121,0
1.8,33,13175.57,Vocational,2013,123,4
2.31,24,13240.04,Vocational,1967,122,0
2.67,9,13268.89,Vocational,1975,122,1
2.75,37,13270.68,Vocational,1974,120,2
1.28,0,13144.06,Vocational,2014,121,1
2.38,6,13225.05,Vocational,1981,122,0
2.97,5,13289.34,Vocational,1968,124,0
2.77,38,13282.02,Vocational,2000,123,1
2.15,2,13223.7,Vocational,1969,123,0
2.49,15,13247.99,Vocational,1981,124,1
2.47,21,13256.35,Vocational,1983,127,0
3.23,8,13316.28,Vocational,1982,121,1
2.01,14,13211.21,Vocational,1981,121,2
2.52,21,13262.39,Vocational,1965,120,1
2.43,4,13244.35,Vocational,1970,129,1
2.75,33,13272.51,Vocational,1970,124,0
2.45,6,13239.62,Vocational,1968,121,0
3.6,47,13363.39,Vocational,1986,120,2
2.45,3,13250.93,Vocational,2005,122,0
2.94,36,13288.63,Vocational,2014,124,2
2.97,14,13297.6,Vocational,1968,121,2
2.01,1,13192.96,Vocational,2008,121,0
2.83,7,13271.99,Vocational,2007,120,2
3,13,13299.3,Vocational,2015,121,0
2.41,3,13251.67,Vocational,1985,120,0
2.4,32,13237.79,Vocational,1970,120,3
2.53,26,13246.71,Vocational,2012,120,1
2.37,4,13223.05,Vocational,1994,120,0
2.83,31,13279.05,Vocational,1964,122,2
2.19,6,13219.66,Vocational,1973,122,3
2.26,2,13215.34,Vocational,1961,121,0
2.46,23,13243.82,Vocational,1978,121,1
2.39,5,13229.16,Vocational,1996,121,1
3.19,81,13315.63,Vocational,1974,124,0
1.46,38,13142.33,Vocational,1979,123,5
2.83,9,13267.43,Vocational,1977,121,1
1.88,57,13178.9,Vocational,1987,121,1
2.67,7,13261.12,Vocational,2009,126,4
2.15,7,13221.42,Vocational,1965,122,3
2.11,9,13219.74,Vocational,1989,130,1
2.74,14,13275.56,Vocational,1995,121,2
2.62,27,13261.44,Vocational,1963,120,4
2.48,0,13239.62,Vocational,2004,123,1
2.09,3,13215.26,Vocational,1974,130,0
1.96,49,13201.33,Vocational,2008,120,0
1.88,22,13177.57,Vocational,1965,125,1
2.69,10,13276.47,Vocational,2014,122,0
2.29,3,13232.08,Vocational,1990,120,0
3.15,33,13339.51,Vocational,1991,124,0
2.69,4,13266.04,Vocational,1967,123,0
1.88,19,13202.84,Vocational,1985,122,0
2.25,2,13228.34,Vocational,1979,120,0
1.94,11,13192.7,Vocational,1967,123,1
2.24,28,13241.9,Vocational,2006,121,1
2.08,83,13221.09,Vocational,1982,123,2
3.16,3,13301.8,Vocational,1979,123,1
2.2,6,13229.31,Vocational,1991,122,1
1.27,7,13130.25,Vocational,1975,120,0
3.68,20,13372.53,Vocational,1997,121,1
2.86,90,13287.13,Vocational,2008,121,0
2.38,4,13240.71,Vocational,2014,121,1
3.01,27,13303.37,Vocational,1964,120,1
2.04,14,13210.64,Vocational,1979,121,0
2.41,35,13244.06,Vocational,1990,121,0
2.62,34,13264.26,Vocational,1979,122,1
3.36,10,13328.82,Vocational,2011,121,1
2.28,24,13216.05,Vocational,1988,123,1
3.06,2,13312.3,Vocational,1967,121,1
3.17,5,13305.85,Vocational,1981,121,0
1.46,7,13147.88,Vocational,1995,121,0
2.16,83,13232.02,Vocational,2001,121,1
2.58,36,13279.35,Vocational,2011,126,1
2.54,1,13270.76,Vocational,1983,121,0
2.72,13,13279.1,Vocational,2012,121,2
2.03,37,13206.34,Vocational,2002,120,0
2.61,44,13274.76,Vocational,1970,121,1
2,2,13210.99,Vocational,1962,126,0
2.77,44,13263.11,Vocational,1983,121,0
2.21,83,13225.2,Vocational,1987,121,1
3.03,62,13308.37,Vocational,1961,124,0
2.64,8,13260.65,Vocational,1990,124,1
2.91,14,13283.4,Vocational,1984,122,1
2.85,19,13282.85,Vocational,1990,123,0
2.61,9,13261.86,Vocational,2015,120,0
3.48,62,13333.19,Vocational,2003,120,1
2.54,18,13250.82,Vocational,1983,124,2
3.48,7,13363.36,Vocational,1977,120,0
1.81,10,13181.89,Vocational,2005,121,0
2.29,75,13207.72,Vocational,1987,121,0
2.24,27,13219.11,Vocational,2013,120,0
2.41,6,13235.72,Vocational,1997,122,3
2.54,18,13252.81,Vocational,2003,120,1
2.2,17,13221.43,Vocational,1969,128,1
2.72,37,13267.04,Vocational,1985,121,1
3.4,23,13341.75,Vocational,2014,124,0
2.43,30,13234,Vocational,1970,120,2
1.87,11,13194.01,Vocational,1967,120,1
2.39,4,13249.27,Vocational,2009,121,4
3.33,0,13324.9,Vocational,1991,123,0
2.67,28,13275.45,Vocational,1968,121,1
3.14,117,13317.42,Vocational,1998,126,1
2.09,5,13195.28,Vocational,2005,124,0
2.02,10,13198.87,Vocational,1984,120,2
2.93,19,13293.33,Vocational,1965,120,1
2.96,20,13301.21,Vocational,1997,126,1
2.02,39,13195.35,Vocational,1968,122,1
1.46,1,13165.38,Vocational,1990,124,1
2.51,11,13248.77,Vocational,1963,121,2
2.22,4,13217.07,Vocational,1983,121,0
2.35,5,13236.59,Vocational,1980,120,2
2.53,9,13251.18,Vocational,2012,122,0
2.91,68,13276.44,Vocational,2011,121,3
2.55,2,13267.53,Vocational,2011,122,2
2.46,8,13250.5,Vocational,2002,121,0
2.12,40,13216.78,Vocational,2002,121,2
2.59,5,13250.07,Vocational,1991,123,4
1.49,31,13162.71,Vocational,1967,123,1
2.39,13,13237.88,Vocational,2002,120,0
2.83,1,13295.49,Vocational,1991,129,2
2.85,2,13288.29,Vocational,2008,123,1
2.01,12,13201.23,Vocational,1982,121,1
2.8,1,13263.82,Vocational,2002,120,1
2.98,7,13303.58,Vocational,1989,123,1
2.16,6,13199.94,Vocational,1973,123,1
2.45,18,13253.81,Vocational,1986,123,1
2.44,36,13237.56,Vocational,1977,123,1
3.06,0,13315.84,Vocational,2002,121,3
2.65,21,13257.69,Vocational,1992,120,1
3.47,12,13335.61,Vocational,1969,121,1
2.57,5,13265.51,Vocational,1986,121,2
2.16,25,13236.12,Vocational,2013,122,1
1.69,18,13163.69,Vocational,1988,123,0
2.22,32,13224.81,Vocational,2007,122,5
2.54,34,13244.52,Vocational,2003,120,3
1.77,31,13167.57,Vocational,2006,120,4
2.19,3,13217.28,Vocational,2014,122,3
2.66,52,13267.14,Vocational,1971,124,0
2.65,22,13269.95,Vocational,2001,121,3
2.91,2,13291,Vocational,1965,120,8
2.78,53,13277.17,Vocational,1979,121,0
2.2,44,13236.55,Vocational,2011,121,0
2.74,1,13273.08,Vocational,2005,122,0
2.22,23,13217.75,Vocational,1962,120,1
2.6,5,13245.6,Vocational,2002,121,3
2.32,3,13239.56,Vocational,2007,121,0
3.21,12,13337.69,Vocational,2006,121,2
2.98,29,13315.08,Vocational,1969,124,2
2.29,0,13255.52,Vocational,1983,120,1
1.98,7,13192.27,Vocational,1964,123,1
2.4,8,13238.29,Vocational,1976,121,0
2.62,5,13269.65,Vocational,2007,120,0
2.65,8,13260.33,Vocational,1996,121,0
2.84,43,13272.32,Vocational,1966,124,0
3.08,57,13314.39,Vocational,2000,121,2
1.65,24,13152.46,Vocational,1963,121,2
3.25,2,13326.07,Vocational,1982,121,0
2.61,7,13253.21,Vocational,1966,127,4
2.49,0,13256.02,Vocational,1990,121,1
2.58,10,13262.5,Vocational,1996,120,1
2.77,2,13289.5,Vocational,1987,122,4
2.46,0,13243.26,Vocational,2012,122,2
2.37,98,13232.51,Vocational,1999,121,0
2.41,6,13250.86,Vocational,1970,121,2
1.75,7,13179.19,Vocational,1963,121,1
2.24,3,13222.82,Vocational,2002,123,1
2.52,29,13265.5,Vocational,1991,122,0
2.39,17,13235.64,Vocational,2010,121,0
2.4,18,13254.51,Vocational,1964,121,1
1.94,34,13199.04,Vocational,1985,120,0
2.52,8,13253.87,Vocational,2002,121,0
2.51,6,13255.04,Vocational,1989,120,1
2.57,27,13258.88,Vocational,1990,121,4
1.99,39,13203.52,Vocational,1978,128,0
2.47,4,13244.44,Vocational,1989,129,0
2.31,3,13219.13,Vocational,1992,121,2
2.45,15,13263.44,Vocational,2011,121,4
2.3,26,13236.85,Vocational,1968,120,1
2.67,8,13268.79,Vocational,1964,121,1
2.01,63,13191.38,Vocational,1973,121,2
2.55,17,13267.61,Vocational,2005,121,1
2.28,20,13242.02,Vocational,1997,124,3
1.86,40,13166.46,Vocational,1990,122,0
2.32,6,13216.67,Vocational,2013,133,1
2.82,3,13292.21,Vocational,1998,121,1
1.69,40,13167.77,Vocational,1978,122,2
2.95,18,13291.48,Vocational,1965,120,3
1.47,32,13139.41,Vocational,1987,124,1
2.12,3,13197.7,Vocational,1974,125,2
3.16,54,13323.71,Vocational,1973,121,0
2.28,25,13211.19,Vocational,1974,123,3
2.88,3,13276.11,Vocational,2002,122,1
2.49,2,13260.63,Vocational,1985,124,1
2.43,4,13255.3,Vocational,1978,126,0
1.98,12,13191.97,Vocational,2008,120,0
2.56,3,13278.02,Vocational,2011,127,3
2.68,32,13239.49,Vocational,1962,121,1
2.04,27,13202.75,Vocational,1980,126,1
3.49,15,13337.08,Vocational,1986,123,1
1.86,15,13196,Vocational,2008,120,1
2.86,5,13287.41,Vocational,2013,121,0
2.74,6,13266.51,Vocational,2002,130,0
2.51,22,13243.3,Vocational,1977,120,0
2.89,30,13306.84,Vocational,1989,122,2
1.87,12,13200.2,Vocational,1966,129,0
2.71,2,13265.8,Vocational,1988,123,0
2.33,10,13224.11,Vocational,1976,122,1
2.07,2,13220.83,Vocational,1994,124,3
2.58,18,13263.44,Vocational,1962,120,1
1.5,1,13152.59,Vocational,1962,121,0
2.19,2,13220.43,Vocational,1992,120,0
2.42,56,13242.28,Vocational,1973,122,0
2.29,22,13221.29,Vocational,1992,120,2
3.19,0,13296.06,Vocational,2007,121,2
2.47,18,13254.18,Vocational,1963,122,0
2.1,1,13202.29,Vocational,2004,120,0
2.17,2,13213.77,Vocational,2001,120,1
2.12,20,13204.27,Vocational,2010,124,0
2.35,1,13232.27,Vocational,1986,123,0
1.59,1,13159.87,Vocational,1996,124,0
1.99,39,13201.79,Vocational,1983,123,0
2.38,1,13244.7,Vocational,1978,123,0
1.93,70,13179.56,Vocational,2007,120,3
2.92,26,13302.97,Vocational,2011,121,0
2.25,7,13232.62,Vocational,2015,120,1
2.5,25,13240.46,Vocational,1974,121,1
2.8,6,13277.47,Vocational,1974,121,1
2.07,11,13202.69,Vocational,1992,120,0
2.66,70,13273.24,Vocational,1973,120,1
2.31,18,13228.1,Vocational,1964,122,0
3.06,16,13306.61,Vocational,1966,122,1
2.53,2,13265.19,Vocational,1967,121,0
2.21,7,13216.49,Vocational,1969,122,1
2.8,31,13271.84,Vocational,1995,120,1
3.01,2,13301.01,Vocational,2005,120,2
2.14,18,13228.14,Vocational,2006,128,0
1.04,60,13111.27,Vocational,1988,121,2
2.58,22,13264.39,Vocational,2013,123,0
2.26,34,13226.96,Vocational,1969,124,1
1.78,3,13184.94,Vocational,2015,120,0
2.71,43,13281.79,Vocational,2012,120,2
2.9,43,13293.22,Vocational,2002,125,0
2.5,12,13252.25,Vocational,1981,121,1
2.27,5,13243.96,Vocational,1997,120,0
2.71,4,13295.3,Vocational,1978,121,0
2.34,17,13243.06,Vocational,1974,120,1
2.81,16,13294.01,Vocational,1978,121,2
3.02,2,13304.26,Vocational,1972,120,0
1.64,13,13164.7,Vocational,1977,126,0
2.05,26,13202.42,Vocational,2000,120,0
2.18,6,13219.89,Vocational,2006,123,1
3.09,28,13314.23,Vocational,1978,125,1
3.47,21,13355.35,Vocational,1979,121,1
2.24,34,13232.16,Vocational,1993,122,1
1.68,19,13170.25,Vocational,1982,122,1
1.79,9,13192.68,Vocational,1998,122,0
2.53,14,13260.6,Vocational,2004,123,1
2.66,61,13266.12,Vocational,1991,121,0
2.81,23,13291.41,Vocational,2004,120,0
2.55,10,13244.99,Vocational,1990,122,4
2.48,13,13245.57,Vocational,1980,121,0
2.22,1,13233.07,Vocational,1998,121,1
2.31,7,13232.41,Vocational,2000,123,1
3.04,12,13299.65,Vocational,1990,124,1
3.14,10,13324.78,Vocational,1974,123,0
2.11,5,13217.55,Vocational,2010,123,1
1.96,1,13195.97,Vocational,2011,120,0
2.22,29,13225,Vocational,1973,121,2
2.76,35,13292.08,Vocational,2005,124,1
2.43,14,13243.73,Vocational,1990,120,1
2.77,40,13280.02,Vocational,2014,128,1
2.23,4,13218.99,Vocational,1981,120,1
2.91,13,13298.57,Vocational,1982,123,1
3.42,5,13334.1,Vocational,1990,123,1
2.5,13,13253.39,Vocational,1992,121,1
2.6,15,13270.2,Vocational,1992,120,1
2.56,6,13249.65,Vocational,1961,121,1
2.77,5,13284.56,Vocational,1984,123,2
3.17,36,13313.49,Vocational,1980,123,0
2.64,1,13272.84,Vocational,1997,121,0
3.01,1,13282.07,Vocational,1969,121,0
3.33,53,13340.91,Vocational,2015,120,1
2.31,11,13230.85,Vocational,1982,120,2
1.9,23,13192.78,Vocational,1965,122,1
2.32,3,13248.33,Vocational,1961,121,0
1.78,22,13187.64,Vocational,1973,121,0
2.58,6,13260.1,Vocational,2010,120,0
2.45,34,13232.87,Vocational,1993,120,1
2.73,52,13274.77,Vocational,2015,123,2
2.84,1,13292.25,Vocational,1971,122,1
2.5,24,13239.02,Vocational,1965,120,0
3.05,4,13310.4,Vocational,1998,127,1
1.8,28,13185.61,Vocational,2006,121,0
2.56,17,13237.22,Vocational,1978,120,0
2.4,5,13228.08,Vocational,2003,121,2
2.58,43,13250.72,Vocational,1989,122,0
2.87,5,13289.97,Vocational,1968,120,0
1.4,12,13145.36,Vocational,1988,123,0
2.76,0,13291.86,Vocational,1979,120,0
2.11,10,13193.59,Vocational,1983,121,1
1.98,28,13185.57,Vocational,1982,120,1
2.76,20,13282.4,Vocational,1979,122,0
2.79,25,13267.2,Vocational,1964,121,2
2.4,22,13239.67,Vocational,1998,126,0
2.78,40,13275.7,Vocational,1993,120,2
2.34,13,13244.61,Vocational,1981,122,0
2.4,7,13224.59,Vocational,2006,126,0
2.28,3,13236.59,Vocational,1962,121,1
2.46,66,13255.1,Vocational,1997,121,1
2.28,3,13231.28,Vocational,1977,123,1
2.76,8,13278.49,Vocational,1971,121,0
1.86,77,13184.93,Vocational,1968,121,0
2.27,9,13214.63,Vocational,2001,125,2
1.81,27,13191.19,Vocational,1973,122,1
2.04,20,13199.49,Vocational,1978,121,0
3.08,20,13321.43,Vocational,2008,126,0
2.61,47,13267.94,Vocational,2000,122,1
2.16,48,13237.45,Vocational,2007,120,0
2.93,13,13285.69,Vocational,1977,121,1
2.98,1,13303.68,Vocational,2015,121,2
1.94,6,13182.29,Vocational,1972,120,1
1.96,24,13190.06,Vocational,1989,124,1
1.91,29,13195.16,Vocational,2014,120,2
2.95,38,13302.25,Vocational,1961,121,2
2.43,4,13257.38,Vocational,1980,123,0
2.02,5,13210.85,Vocational,2013,123,1
1.93,10,13172.14,Vocational,1972,121,1
2.88,4,13291.88,Vocational,1965,122,3
2.65,14,13260.08,Vocational,1987,120,0
3.06,3,13314.62,Vocational,1990,122,2
2.31,1,13228.37,Vocational,1979,124,0
2.01,1,13203,Vocational,1984,120,3
2.36,24,13234.14,Vocational,2015,121,1
2.7,6,13269.73,Vocational,1982,122,1
2.5,14,13255.43,Vocational,1988,125,3
1.99,15,13199.29,Vocational,1986,129,1
2.09,39,13189.83,Vocational,1976,120,1
2.39,0,13247.25,Vocational,2005,121,0
2.15,10,13206.52,Vocational,2005,123,1
3.37,27,13329.88,Vocational,1991,122,1
2.5,5,13248.02,Vocational,1992,123,2
2.26,10,13235.12,Vocational,1988,122,1
2.35,22,13237.57,Vocational,1984,120,1
2.48,17,13220.71,Vocational,1980,122,0
2.16,20,13206.35,Vocational,1962,122,1
2.8,5,13269.25,Vocational,1988,120,0
2.89,33,13288.51,Vocational,1998,127,1
2.72,6,13264.07,Vocational,1986,125,1
2.22,0,13208.62,Vocational,1992,121,1
2.94,5,13298.68,Vocational,1997,120,2
2.26,15,13233.88,Vocational,1972,122,0
2.79,21,13284.13,Vocational,1968,130,0
2.75,20,13280,Vocational,1998,120,2
2.53,31,13262.38,Vocational,1992,121,0
2.12,25,13213.83,Vocational,1986,121,1
2.52,9,13267.2,Vocational,2001,120,0
3.18,0,13322.17,Vocational,1973,122,3
2.49,14,13244.38,Vocational,1993,121,1
2.6,5,13255.51,Vocational,2003,120,0
2.24,28,13215.65,Vocational,1993,123,0
2.92,19,13282.16,Vocational,2006,122,1
2.63,12,13261.28,Vocational,1979,123,1
1.95,5,13192.18,Vocational,1988,125,0
2.12,5,13217.66,Vocational,1971,121,1
2.2,4,13207.96,Vocational,1989,121,2
2.89,44,13273.34,Vocational,1994,122,1
3.43,84,13341.53,Vocational,2001,121,1
3.15,58,13314.18,Vocational,1997,127,0
2.51,36,13233.34,Vocational,2010,123,1
2.53,5,13256.12,Vocational,1970,120,0
2.08,8,13207.44,Vocational,2010,120,0
2.57,42,13274.23,Vocational,1989,122,1
2.65,35,13260.09,Vocational,1974,121,0
2.8,42,13295.14,Vocational,2009,123,1
